"country","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","pop2021"
"Mongolia","0.3682","0.3734","0.0799","3329.2890"
"Equatorial Guinea","0.3467","0.3220","0.1195","1449.8960"
"Israel","0.3436","0.5525","0.3469","8789.7740"
"Algeria","0.3394","0.4427","0.0091","44616.6240"
"Rwanda","0.3238","0","0.5066","13276.5130"
"Lithuania","0.3223","0.3219","0.4141","2689.8620"
"Belarus","0.3222","0.4666","0.6116","9442.8620"
"Czech Republic","0.3222","0.3233","0.6591","10724.5550"
"Turkey","0.3200","0.2216","0.0049","85042.7380"
"Romania","0.3069","0.1723","0.2373","19127.7740"
"Saint Vincent and the Grenadines","0.3066","0.0175","0.7028","111.2630"
"Burundi","0.2951","0.2977","0.5158","12255.4330"
"San Marino","0.2927","0","0.1975","34.0170"
"Taiwan","0.2744","0.5028","0.6845","23855.0100"
"Papua New Guinea","0.2718","0.3526","0.5523","9119.0100"
"Grenada","0.2661","0","0.5898","113.0210"
"Lesotho","0.2550","0.2543","0.7211","2159.0790"
"Argentina","0.2550","0.0618","0.2236","45605.8260"
"Slovakia","0.2539","0.2551","0.5655","5460.7210"
"Uruguay","0.2504","0.0817","0.3548","3485.1510"
"Russia","0.2452","0.2485","0.4398","145912.0250"
"Philippines","0.2385","0.8360","0.3056","111046.9130"
"Vietnam","0.2383","0.2377","0.5080","98168.8330"
"Costa Rica","0.2368","0.0489","0.2410","5139.0520"
"Slovenia","0.2216","0.2201","0.2868","2078.7240"
"Albania","0.2204","0.0399","0.4719","2872.9330"
"Cambodia","0.2105","0.2104","0.0965","16946.4380"
"Azerbaijan","0.2047","0.2054","0.4899","10223.3420"
"Seychelles","0.2025","0.1606","0.2323","98.9080"
"Dominica","0.2003","0","0.4628","72.1670"
"El Salvador","0.1978","0","0.3559","6518.4990"
"Honduras","0.1867","0.0553","0.2357","10062.9910"
"Chile","0.1861","0.1871","0.3841","19212.3610"
"Saint Kitts and Nevis","0.1842","0","0.6614","53.5440"
"Egypt","0.1836","0.0237","0.1979","104258.3270"
"Saudi Arabia","0.1800","0.0949","0.1270","35340.6830"
"Saint Lucia","0.1769","0.3169","0.3320","184.4000"
"Paraguay","0.1689","0.5975","0.2123","7219.6380"
"Germany","0.1682","0.1642","0.6571","83900.4730"
"Antigua and Barbuda","0.1643","0.1063","0.6840","98.7310"
"Tuvalu","0.1629","0.1372","0.2524","11.9310"
"Greece","0.1576","0.0300","0.1530","10370.7440"
"China","0.1538","0.1327","0.6643","1444216.1070"
"Hungary","0.1522","0.0297","0.5244","9634.1640"
"Barbados","0.1423","0.0926","0.6934","287.7110"
"Samoa","0.1376","0.0111","0.7871","200.1490"
"Finland","0.1315","0.1412","0.2531","5548.3600"
"Lebanon","0.1314","0.1312","0.7886","6769.1460"
"Armenia","0.1272","0.1291","0.4576","2968.1270"
"United Kingdom","0.1211","0.0532","0.6944","68207.1160"
"Ireland","0.1206","0.0312","0.1550","4982.9070"
"Poland","0.1183","0.0468","0.1712","37797.0050"
"Italy","0.1145","0.1147","0.3027","60367.4770"
"Solomon Islands","0.1110","0.5254","0.6708","703.9960"
"Austria","0.1068","0.1522","0.4146","9043.0700"
"Netherlands","0.1054","0.5143","0.7222","17173.0990"
"France","0.1032","0.1221","0.4029","65426.1790"
"Haiti","0.0950","0","0.4704","11541.6850"
"Cyprus","0.0939","0.3962","0.3962","1215.5840"
"Australia","0.0929","0.3349","0.8211","25788.2150"
"Tonga","0.0869","0.3782","0.6214","106.7600"
"Denmark","0.0819","0.1049","0.2333","5813.2980"
"Iceland","0.0798","0.0820","0.1913","343.3530"
"Hong Kong","0.0620","0.2128","0.4191","7552.8100"
"Marshall Islands","0.0603","0.0734","0.5207","59.6100"
"Sweden","0.0600","0.1968","0.2342","10160.1690"
"Norway","0.0586","0.0673","0.2048","5465.6300"
"Eswatini","0.0582","0.1722","0.4444","1172.3620"
"Kiribati","0.0511","0.0237","0.5541","121.3920"
"Portugal","0.0468","0.0198","0.1438","10167.9250"
"Bangladesh","0.0454","0.0925","0.2090","166303.4980"
"Malta","0.0414","0.0907","0.1223","442.7840"
"Vanuatu","0.0413","0.5794","0.7044","314.4640"
"Tunisia","0.0394","0.0124","0.0104","11935.7660"
"South Korea","0.0392","0.0028","0.4891","51305.1860"
"Japan","0.0119","0.0178","0.5406","126050.8040"
"North Korea","0.0020","0.0021","0.6604","25887.0410"
"Faroe Islands","0","0","0.3147","49.0490"
"American Samoa","0","0.1733","0.6395","55.1000"
"Greenland","0","0.2188","0.4592","56.8770"
"Northern Mariana Islands","0","0.7754","0.4811","57.9170"
"Bermuda","0","0","0.7112","62.0900"
"Isle of Man","0","0","0.4729","85.4100"
"United States Virgin Islands","0","0.3140","0.6359","104.2260"
"Aruba","0","0.3889","0.4107","107.2040"
"Guam","0","0.7320","0.4082","170.1790"
"Sao Tome and Principe","0","0.2322","0.1866","223.3680"
"Mayotte","0","0.7212","0.0620","279.5150"
"French Polynesia","0","0.6078","0.5813","282.5300"
"New Caledonia","0","0.6633","0.5462","288.2180"
"French Guiana","0","0.1154","0.4959","306.4480"
"Martinique","0","0","0.2336","374.7450"
"Guadeloupe","0","0.0933","0.3069","400.0200"
"Macau","0","0.2519","0.5511","658.3940"
"Comoros","0","0.0103","0.0137","888.4510"
"Reunion","0","0.1578","0.1952","901.6860"
"Timor-Leste","0","0.5261","0.4254","1343.8730"
"Puerto Rico","0","0.0352","0.4952","2828.2550"
"Yemen","0","0.0080","0.0023","30490.6400"
