"Country Code","Country.x","GDP per capita (current US$)","Health expenditure per capita (current US $)","Poverty head count ratio at $1.90 a day (% of population)","Poverty head count ratio at $3.20 a day (% of population)","Poverty headcount ratio at $5.50 a day (% of population)","Gini index (World Bank estimate)","Adult Literacy rate (% of people ages 15 and above)","Gender Parity Index (GPI)","Education, at least completed primary, population 25+ years, total (%) (cumulative)","Education, at least completed upper secondary, population 25+, total (%) (cumulative)","Education, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Hospital beds (per 1,000 people)","Refugee population by country or territory of asylum","Gender Inequality Index (GII)","DTP (Child Vax)","MEASLES (Child Vax)","CPI score 2020 (Corruption Index)","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","stringency_index","Flu Vax Value","Government Effectiveness Index Rank","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","aged_65_older","cum_first_doses","cum_second_doses","cum_additional1_doses","cum_unknown_doses","total_population","percent_atleast_onedose_total_pop","percent_fully_vaccinated_total_pop","percent_boosted_total_pop","total_doses_received","total_doses_exported","available_doses","percent_doses_utilised","unknown_dose_hcw","hcw_population","percent_atleast_onedose_hcw","percent_fully_vaccinated_hcw","percent_boosted_hcw","unknown_dose_ltcf","ltcf_population","percent_atleast_onedose_ltcf","percent_fully_vaccinated_ltcf","percent_boosted_ltcf","unknown_dose_above60","above60_population","percent_atleast_onedose_above60","percent_fully_vaccinated_above60","percent_boosted_above60"
"CYP","Cyprus",26623.8008913181,1954.40686035,0,0.1,0.1,32.7,98.6784286499023,0.981190025806427,95.987190246582,74.4701614379883,29.795259475708,4.0345,1.9509,3.4,14037,0.086,NA,NA,57,0.0939,0.3962,0.3962,46.3,NA,"77.403846740722656",1595454,650349,616931,TRUE,6882,3393,178.06,72.58,68.85,TRUE,3787,526,0.059,896005,127.657,13.416,640689,605283,295948,0,888005,0.721492559163518,0.707068090832822,0.333272898238186,2021768,90600,1931168,0.798439079355085,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,194673,0.944085723238456,0.93657569359901,0.712856944722689
"CZE","Czech Republic",22932.2249686565,1765.58837891,0,0,0.2,25,99,1.00761997699738,99.8614807128906,90.6672668457031,20.9109001159668,8.4246,4.1157,6.62,1959,0.136,96,96,54,0.3222,0.3233,0.6591,37.96,21.5,"78.846153259277344",15487862,6826306,6656111,TRUE,10932,38319,144.41,63.65,62.06,TRUE,3573,2603,0.024,10724553,137.176,19.027,6823475,6250263,2422477,0,10693939,0.638069377429589,0.622264256416649,0.226528036114663,20526970,3656090,16870880,0.918518476807375,0,354319,1,1,0.579031889342654,0,180174,0.682012943043946,0.668226270161067,0.441195733013642,0,2783197,0.86286130661969,0.851054380987045,0.57623876427001
"DEU","Germany",46208.4294717472,5472.20214844,0,0.2,0.5,31.9,99,0.965369999408722,100,83.4613037109375,25.1498794555664,13.4858,4.2996,8,1210636,0.084,93,97,80,0.1682,0.1642,0.6571,84.26,38,"88.942306518554688",150134376,61779290,59255828,TRUE,124477,400424,178.94,73.63,70.63,TRUE,4773,37526,0.045,83900471,237.016,21.453,61781113,55683939,32760750,0,83166711,0.742858678155494,0.712573267445914,0.393916623683724,188817065,17241180,171575885,0.87556477998059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23738453,0.895886644340303,0.885472949732655,0.633461750856301
"DNK","Denmark",61063.3164304238,6216.76855469,0.2,0.2,0.3,28.2,99,0.995649993419647,100,79.3219375610352,33.0904998779297,10.5515,4.2247,2.6,36718,0.038,96,94,88,0.0819,0.1049,0.2333,38.89,45,"98.076919555664063",12123040,4803856,4558812,TRUE,5528,58398,208.54,82.64,78.42,TRUE,10046,3176,0.055,5813302,136.52,19.677,4806690,4535662,2847435,0,5822763,0.825499852904884,0.787007130463665,0.48901784256031,9210270,0,9210270,1.32349941966956,0,299619,1,0.995641130902913,0.899151922942137,0,42302,0.96446976502293,0.958016169448253,0.909365987423763,0,1500362,0.998148446841496,0.994845244014445,0.931091296633746
"ESP","Spain",27063.1939180299,2736.32324219,0.9,1.3,2.4,34.7,98.5944595336914,1.02180004119873,93.2168121337891,53.2567481994629,23.578010559082,6.0795,4.0299,2.97,103679,0.07,93.4,97,62,0.4165,0.4132,0.4514,56.02,54.3,"77.884613037109375",84250146,39807263,38016879,TRUE,256290,53399,180.23,85.16,81.33,TRUE,1142,39643,0.085,46745211,93.105,19.436,39800539,33626248,14271201,0,47332614,0.840869236590229,0.752305672363669,0.301508828563747,111243529,6885200,104358329,0.840354467538475,0,2180000,0.971842201834862,0.919124770642202,0,0,450000,1,1,0,0,12186161,1,0.981827747064888,0.820747649731527
"EST","Estonia",23027.0269956294,1552.96875,0.2,0.5,0.8,30.3,99.8857879638672,1.02198994159698,99.776496887207,85.7552032470703,30.8465099334717,6.6316,3.4629,4.57,297,0.086,91.9,87,75,0.5062,0.4944,0.4985,34.26,10.2,"88.461540222167969",1517742,842317,817238,NA,153,802,114.53,63.56,61.67,NA,605,415,0.031,1325188,31.033,19.452,838772,720007,292059,0,1328976,0.631141570652894,0.598675973080026,0.219762433633113,2269770,121350,2148420,0.86148797721116,0,16472,0.832078678970374,0.770155415250121,0,0,12571,0.862620316601702,0.778299260202052,0,0,352024,0.776822034861259,0.749460264072904,0.465621662159398
"FIN","Finland",48773.2811691347,4515.67724609,0.1,0.1,0.2,27.3,100,1.05174994468689,NA,77.4507217407227,25.9350891113281,14.8773,4.6404,3.61,23483,0.047,91,96,85,0.1315,0.1412,0.2531,33.33,49.6,"99.038459777832031",9616819,4278695,4091936,TRUE,71998,26306,173.33,77.12,73.75,TRUE,4741,59,0.001,5548361,18.136,21.228,4264237,4048478,1236482,0,5525292,0.771766813410042,0.732717474479177,0.223785819826355,10985165,0,10985165,0.869281162367611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1590893,0.945765680030021,0.931124846234159,0.575518906676942
"FRA","France",39030.3603713482,4690.07226563,0,0.1,0.1,32.4,99,0.998740017414093,97.6722869873047,72.1873474121094,19.7005405426025,11.4707,6.5344,5.91,436100,0.049,96.3,90,69,0.1032,0.1221,0.4029,72.22,51,"86.538459777832031",123971415,53052904,49536093,TRUE,153109,378608,183.87,78.69,73.47,TRUE,5615,19432,0.029,67422000,122.578,19.718,52966512,48590381,24876179,0,67320216,0.786784641332702,0.737556174804906,0.369520189893627,141518840,0,141518840,0.893400991698349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,17845307,0.934835528466952,0.897405631631891,0.69686635259343
"GBR","United Kingdom",41124.5347686731,4315.42773438,0.3,0.5,0.9,35.1,99,1.01142001152039,100,79.9111328125,37.2764701843262,10.2922,5.8233,2.46,132349,0.118,94,92,77,0.1211,0.0532,0.6944,48.61,72,"89.423080444335938",133312817,51786768,47434251,TRUE,204514,274918,195.45,75.93,69.54,TRUE,4031,18043,0.026,68207114,272.898,18.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEO","Georgia",4266.69079450924,312.74691772,3.8,14.9,42,35.9,99.5584411621094,1.00706994533539,99.186897277832,92.1729507446289,33.6676902770996,5.2162,7.0784,2.89,1800,0.331,NA,NA,56,0.4923,0.4749,0.6543,46.3,NA,"75.480766296386719",2520230,1367568,1152662,TRUE,7800,10441,63.33,34.36,28.96,TRUE,2624,4934,0.124,3979773,65.032,14.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
