"Country Code","Country.x","GDP per capita (current US$)","Health expenditure per capita (current US $)","Poverty head count ratio at $1.90 a day (% of population)","Poverty head count ratio at $3.20 a day (% of population)","Poverty headcount ratio at $5.50 a day (% of population)","Gini index (World Bank estimate)","Adult Literacy rate (% of people ages 15 and above)","Gender Parity Index (GPI)","Education, at least completed primary, population 25+ years, total (%) (cumulative)","Education, at least completed upper secondary, population 25+, total (%) (cumulative)","Education, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Nurses and midwives (per 1,000 people)","Physicians (per 1,000 people)","Hospital beds (per 1,000 people)","Refugee population by country or territory of asylum","Gender Inequality Index (GII)","DTP (Child Vax)","MEASLES (Child Vax)","CPI score 2020 (Corruption Index)","ethnicFractionalization","linguisticFractionalization","religiousFractionalization","stringency_index","Flu Vax Value","Government Effectiveness Index Rank","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","population","population_density","aged_65_older","cum_first_doses","cum_second_doses","cum_additional1_doses","cum_unknown_doses","total_population","percent_atleast_onedose_total_pop","percent_fully_vaccinated_total_pop","percent_boosted_total_pop","total_doses_received","total_doses_exported","available_doses","percent_doses_utilised","unknown_dose_hcw","hcw_population","percent_atleast_onedose_hcw","percent_fully_vaccinated_hcw","percent_boosted_hcw","unknown_dose_ltcf","ltcf_population","percent_atleast_onedose_ltcf","percent_fully_vaccinated_ltcf","percent_boosted_ltcf","unknown_dose_above60","above60_population","percent_atleast_onedose_above60","percent_fully_vaccinated_above60","percent_boosted_above60"
"LTU","Lithuania",20233.6413480843,1249.25463867,0.9,1.3,2.4,35.7,99.8155975341797,0.976960003376007,99.2120971679688,89.8658065795898,38.103458404541,9.4452,5.0399,6.43,1915,0.124,92.3,92,60,0.3223,0.3219,0.4141,50,14.8,"82.692306518554688",4131169,1917643,1832005,TRUE,6950,12893,153.58,71.29,68.11,TRUE,4793,1156,0.043,2689862,45.135,19.002,1917232,1566564,632209,4300,2794090,0.686174031616734,0.657051132926999,0.226266512531808,4265653,0,4265653,0.965925967255189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2588,752684,0.796417885859139,0.774562764719324,0.421362749839242
"LUX","Luxembourg",116014.602496869,6227.08398438,0.3,0.4,0.6,35.4,100,0.992669999599457,95.0121765136719,69.071662902832,NA,12.1744,3.0073,4.26,5213,0.065,99,99,80,0.5302,0.644,0.0911,46.3,39.8,"97.115386962890625",1076365,464443,NA,TRUE,4034,4435,169.56,73.16,NA,TRUE,6986,444,0.07,634814,231.447,14.312,452976,392483,202462,0,626108,0.723479016399727,0.692139375315441,0.323365936867122,1300380,0,1300380,0.805857518571494,0,16477,0.8692116283304,0.844146385871214,0.572677064999697,0,6033,0.959058511519973,0.932537709265705,0.796452842698492,0,125262,0.913940380961505,0.901765898676374,0.736168989797385
"LVA","Latvia",17726.2529351368,1101.49255371,0.3,0.9,2.5,35.1,99.8893127441406,0.999930024147034,100,90.9270706176758,30.9353103637695,4.6174,3.3015,5.49,667,0.176,96,98,57,0.5867,0.5795,0.5556,35.19,7.7,"76.923080444335938",2555664,1314634,1262452,TRUE,82,6241,136.89,70.42,67.62,TRUE,3343,759,0.041,1866934,31.212,19.754,1260062,950687,254381,0,1907675,0.660522363610154,0.635306852582332,0.133346088825403,3849515,0,3849515,0.640374177006714,0,35684,0.779368904831297,0.741340656877032,0.0563838134738258,0,12293,0.964369966647686,0.920035792727569,0.316765638981534,0,523260,0.753942590681497,0.733512976340634,0.243190765584986
"MCO","Monaco",190512.737442436,2968.50048828,NA,NA,NA,NA,99,NA,NA,NA,NA,20.1609,7.5067,13.8,22,NA,NA,NA,NA,0.6838,0.7305,0.3047,40.74,NA,NA,49980,26672,23308,NA,NA,103,126.47,67.49,58.98,NA,2606,32,0.081,39520,19347.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MDA","Moldova",4547.05972064671,212.97038269,0,0.9,12.8,25.7,99.3598937988281,0.989619970321655,99.4189605712891,74.5440521240234,20.0525398254395,3.9329,2.5586,5.66,435,0.204,NA,NA,34,0.5535,0.5533,0.5603,27.78,NA,"36.057693481445313",1776513,NA,982152,TRUE,1469,4375,44.15,NA,24.41,TRUE,1087,NA,NA,4024025,123.655,10.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MKD","North Macedonia",5917.26257545221,399.09707642,3.4,7.1,17.9,33,98.3635711669922,0.986109972000122,93.6417922973633,68.3028182983398,21.6756992340088,3.7917,2.8736,4.28,314,0.143,NA,NA,35,NA,NA,NA,NA,NA,"57.692306518554688",1788943,847017,825428,TRUE,NA,1716,85.9,40.67,39.63,TRUE,824,241,0.012,2082661,82.6,13.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MLT","Malta",27884.6428274251,2753.51098633,0.1,0.2,0.3,28.7,94.5031890869141,1.00504994392395,98.9688034057617,48.2728614807129,21.8410091400146,9.4833,2.8598,4.49,9208,0.175,NA,NA,53,0.0414,0.0907,0.1223,43.52,NA,"81.730766296386719",1072274,444615,435874,TRUE,3509,5968,207.76,86.15,84.46,TRUE,11564,599,0.116,516100,1454.037,19.426,433206,391724,229734,0,514564,0.84188944426738,0.823190118236021,0.44646341368615,0,341380,NA,NA,0,12400,0.977822580645161,0.975887096774193,0.0604032258064516,0,4102,1,0.910287664553876,1,0,126158,1,0.990559457188605,0.852890819448628
"MNE","Montenegro",7677.15222569996,731.48168945,2.5,6,15.6,38.5,98.8471832275391,1.01189005374908,97.4874420166016,72.5558395385742,NA,5.2294,2.7557,3.86,176,0.109,NA,NA,45,NA,NA,NA,NA,NA,"53.365383148193359",634517,283884,272853,TRUE,1881,1631,101.03,45.2,43.44,TRUE,2597,211,0.034,628051,46.28,14.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NLD","Netherlands",52397.1167129558,5306.53466797,0.1,0.2,0.3,28.1,99,1.00676000118256,98.5624618530273,72.9593505859375,34.7736282348633,11.4851,3.7066,3.17,78911,0.043,93.5,93,82,0.1054,0.5143,0.7222,63.89,60.3,"97.596153259277344",29454464,13325006,12248233,TRUE,NA,221465,171.52,77.59,71.32,TRUE,12896,1222,0.007,17173094,508.544,18.779,13324838,11380825,4747472,0,17407585,0.765461607684237,0.703607479153484,0.272724332525161,36508402,4229900,32278502,0.912469079265203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NOR","Norway",67389.912047247,8239.09570313,0.3,0.3,0.4,27.6,100,0.975560009479523,99.7143783569336,78.7484436035156,29.2899303436279,18.3493,4.885,3.53,49713,0.045,96,96,84,0.0586,0.0673,0.2048,51.85,38.2,"98.557693481445313",9769438,4286349,3922994,TRUE,678,16201,178.74,78.42,71.78,TRUE,2964,441,0.008,5465629,14.462,16.821,4285151,3921345,1558148,0,5367580,0.798339475145224,0.73174857198216,0.290288733470204,11918185,0,11918185,0.819306295379708,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1249039,0.992975399487126,0.988159697175188,0.816003343370383
"POL","Poland",15720.994663556,978.73565674,0.2,0.4,1.1,30.2,98.7427368164063,0.9792799949646,99.2915725708008,87.7777786254883,28.0126800537109,6.8926,2.3788,6.54,2811,0.115,95.2,93,56,0.1183,0.0468,0.1712,39.81,NA,"66.346153259277344",46987401,21673668,21046400,TRUE,25080,118782,124.32,57.34,55.68,TRUE,3143,21859,0.058,37797000,124.027,16.763,21792100,18484794,6930459,0,37958138,0.574108772142617,0.555754578899524,0.182581637697824,87413110,0,87413110,0.540048889691718,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9648534,0.761971715081276,0.756451394584918,0.437003383104625
"PRT","Portugal",22176.2967116929,2215.17358398,0.3,0.7,1.7,33.5,96.1375885009766,0.993099987506866,93.9047470092773,43.4513092041016,22.5076999664307,6.8987,5.3117,3.45,2445,0.075,99,99,61,0.0468,0.0198,0.1438,43.17125,NA,"81.25",19320364,9317536,9103550,TRUE,55968,46480,190.01,91.64,89.53,TRUE,4571,1851,0.018,10167923,112.371,21.502,9316126,7380124,3085368,4675,10295909,0.904837639882015,0.826539453680098,0.2996693152591,25912760,0,25912760,0.763573351507134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1810,2957186,1,1,0.789397758544779
"ROU","Romania",12896.0886211622,687.25439453,2.4,5.1,10.9,35.8,98.8444976806641,0.998179972171783,98.7381134033203,69.1821594238281,13.0140800476074,6.0922,2.9807,6.89,3631,0.276,NA,NA,44,0.3069,0.1723,0.2373,52.78,NA,NA,15850096,8029230,7817215,NA,8507,15073,82.86,41.98,40.87,NA,788,24525,0.128,19127772,85.129,17.85,7983877,5909682,1144949,0,19328838,0.413055197627504,0.405455154624401,0.059235273222322,23941325,252000,23689325,0.634822140352247,0,364023,0.96912557723001,0.931897160344264,0.118813921098392,0,NA,NA,NA,NA,0,4959074,0.46191063089601,0.455421717844904,0.100655888579198
"RUS","Russian Federation",10126.7217935297,609.00915527,0,0.4,3.7,37.5,99.7300567626953,0.979820013046265,99.3834991455078,84.987907409668,59.2608795166016,4.5333,4.4395,7.12,20325,0.225,96.9,98,30,0.2452,0.2485,0.4398,54.17,NA,"54.807693481445313",146364014,73824201,66773441,TRUE,360176,474568,100.31,50.6,45.76,TRUE,3252,179674,0.123,145912022,8.823,14.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SMR","San Marino",47731.2085399347,3463.70068359,NA,NA,NA,NA,96,0.971610009670258,96.5969924926758,53.9379501342773,15.7600202560425,8.2067,6.1094,3.8,NA,NA,NA,NA,NA,0.2927,0,0.1975,37.96,NA,NA,56799,24369,21685,TRUE,NA,204,167.01,71.65,63.76,TRUE,5998,4,0.012,34010,556.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SRB","Serbia",7720.51057195234,617.08654785,5.4,8.9,19.3,36.2,99.4825286865234,1.00941002368927,98.5257797241211,73.6363830566406,15.5152702331543,6.0855,3.1131,5.61,26130,0.132,NA,NA,38,0.5736,0,0,28.7,NA,"54.326923370361328",8290461,3316151,3220977,TRUE,5576,10992,120.65,48.26,46.87,TRUE,1600,1400,0.02,6871547,80.291,17.366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SVK","Slovak Republic",19266.5135736247,1299.91137695,0.2,1,2.4,25,99.6,1.00722002983093,99.7565383911133,87.7003021240234,22.8579196929932,6.0156,3.517,5.7,1036,0.191,96.5,96,49,0.2539,0.2551,0.5655,65.625,12.5,"71.634613037109375",6430792,2763203,2637455,TRUE,NA,23604,118.01,50.71,48.4,TRUE,4332,2023,0.037,5449270,113.128,15.07,2746292,2453859,998672,0,5457873,0.503179901767593,0.480021063150425,0.182978240790872,7936758,1000700,6936058,0.893709798851163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1265088,0.725804054737694,0.696710426468356,0.463574075479334
"SVN","Slovenia",25517.33066526,2169.57910156,0,0,0.1,24.6,99.6999969482422,1.00929999351501,99.8007278442383,82.9429702758789,21.5090999603271,10.2248,3.1721,4.43,858,0.063,93,93,60,0.2216,0.2201,0.2868,59.26,12.9,"85.576919555664063",2761853,1250472,1189678,TRUE,1243,3841,132.86,60.16,57.23,TRUE,1848,320,0.015,2078723,102.619,19.062,1241441,1053782,467145,0,2095861,0.592329834850689,0.567836321206416,0.222889304204811,4525170,748000,3777170,0.73133271735188,0,43611,0.743596798972736,0.697576299557451,0.195271835087478,NA,NA,NA,NA,NA,0,568751,0.84989740677379,0.829704035685212,0.511148112267055
"SWE","Sweden",52274.4087868798,5981.70605469,0.7,0.9,1.2,30,99,1.05411005020142,100,77.2551116943359,25.07958984375,12.5813,4.331,2.14,248425,0.039,97,97,85,0.06,0.1968,0.2342,49.07,52.2,"95.673080444335938",17732677,7748156,7403236,TRUE,72056,24610,174.53,76.26,72.87,TRUE,2422,1925,0.019,10160159,24.718,19.985,7421715,7174210,2578795,0,10327589,0.718629972590892,0.694664553362842,0.249699615273226,21100005,0,21100005,0.813967579628536,0,123200,0.839285714285714,0.623376623376623,0,0,74894,0.944094319972227,0.895826100889257,0,0,2633757,0.948612951004971,0.93782304138157,0.763551838685194
"TJK","Tajikistan",859.137961121368,59.84311676,4.1,17.8,50.5,34,99.8000030517578,0.931699991226196,NA,80.6697616577148,12.0083703994751,4.7534,1.7229,4.67,5588,0.314,NA,NA,25,0.5107,0.5473,0.3386,29.63,NA,"24.519229888916016",6893099,3844805,3048294,TRUE,NA,42350,70.7,39.44,31.27,FALSE,4344,21513,0.221,9749625,64.281,3.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TKM","Turkmenistan",7612.03518009452,460.17514038,NA,NA,NA,NA,99.6999969482422,0.982129991054535,NA,NA,NA,4.4273,2.2247,4.03,20,NA,NA,NA,19,0.3918,0.3984,0.2327,64.2214285714286,NA,"12.019230842590332",7580976,4374694,3206282,NA,NA,41369,123.91,71.51,52.41,NA,6762,23860,0.39,6117933,12.253,4.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TUR","Turkey",8536.43331960632,389.86557007,0.4,2.2,10.2,41.9,96.7422103881836,0.970019996166229,91.03515625,42.1706085205078,NA,3.0027,1.8065,2.85,3652362,0.306,98,96,40,0.32,0.2216,0.0049,49.07,NA,"52.403846740722656",131646005,56914268,51604894,TRUE,511231,521613,154.8,66.92,60.68,TRUE,6134,19532,0.023,85042736,104.914,8.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UKR","Ukraine",3726.92714937055,228.39007568,0,0.2,2.5,26.6,99.9743499755859,0.995869994163513,97.1825637817383,74.3192291259766,16.7468891143799,6.661,2.9923,7.46,2274,0.234,NA,NA,33,0.4737,0.4741,0.6157,51.85,NA,"38.942306518554688",28448050,14713309,13755421,NA,51431,71224,65.45,33.85,31.65,NA,1639,19820,0.046,43466822,77.39,16.462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UZB","Uzbekistan",1750.69711321291,82.26926422,61.6,86.2,96.4,35.3,99.9999465942383,0.991859972476959,99.990592956543,96.6762924194336,16.4321002960205,11.2804,2.3742,3.98,18,0.288,NA,NA,26,0.4125,0.412,0.2133,44.44,NA,"34.134616851806641",39355263,18856664,NA,TRUE,149647,136106,115.97,55.57,NA,FALSE,4011,22060,0.065,33935765,76.134,4.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XKX","Kosovo",4346.63793069721,154.56378,0.4,3.6,24.4,29,91.900002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
